filename, language, YAML, Properties, Dart, Markdown, Groovy, C++, Swift, XML, JSON, comment, blank, total
/home/jakub/Projects/agh_soccer/frontend/lib/src/models/user_token.dart, Dart, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 3, 18
/home/jakub/Projects/agh_soccer/frontend/lib/src/resources/auth_provider.dart, Dart, 0, 0, 88, 0, 0, 0, 0, 0, 0, 0, 15, 103
/home/jakub/Projects/agh_soccer/frontend/lib/src/resources/match_provider.dart, Dart, 0, 0, 168, 0, 0, 0, 0, 0, 0, 0, 29, 197
/home/jakub/Projects/agh_soccer/frontend/lib/src/resources/match_repository.dart, Dart, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 11, 51
/home/jakub/Projects/agh_soccer/frontend/lib/src/resources/user_repository.dart, Dart, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 12, 63
/home/jakub/Projects/agh_soccer/frontend/lib/src/ui/home/home_page.dart, Dart, 0, 0, 126, 0, 0, 0, 0, 0, 0, 4, 11, 141
/home/jakub/Projects/agh_soccer/frontend/lib/src/ui/login/login_form.dart, Dart, 0, 0, 88, 0, 0, 0, 0, 0, 0, 0, 8, 96
/home/jakub/Projects/agh_soccer/frontend/lib/src/ui/login/login_page.dart, Dart, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 12, 60
/home/jakub/Projects/agh_soccer/frontend/lib/src/ui/login/test_form.dart, Dart, 0, 0, 311, 0, 0, 0, 0, 0, 0, 7, 24, 342
/home/jakub/Projects/agh_soccer/frontend/lib/src/ui/match/create_edit_match_modal.dart, Dart, 0, 0, 386, 0, 0, 0, 0, 0, 0, 2, 36, 424
/home/jakub/Projects/agh_soccer/frontend/lib/src/ui/match/match_card.dart, Dart, 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 5, 75
/home/jakub/Projects/agh_soccer/frontend/lib/src/ui/match/match_details/chat/chat_view.dart, Dart, 0, 0, 192, 0, 0, 0, 0, 0, 0, 0, 16, 208
/home/jakub/Projects/agh_soccer/frontend/lib/src/ui/match/match_details/match_details.dart, Dart, 0, 0, 331, 0, 0, 0, 0, 0, 0, 1, 25, 357
/home/jakub/Projects/agh_soccer/frontend/lib/src/ui/match/match_details/match_details_modal.dart, Dart, 0, 0, 104, 0, 0, 0, 0, 0, 0, 7, 9, 120
/home/jakub/Projects/agh_soccer/frontend/lib/src/ui/match/match_search.dart, Dart, 0, 0, 202, 0, 0, 0, 0, 0, 0, 0, 23, 225
/home/jakub/Projects/agh_soccer/frontend/lib/src/ui/match/matches_page.dart, Dart, 0, 0, 161, 0, 0, 0, 0, 0, 0, 4, 16, 181
/home/jakub/Projects/agh_soccer/frontend/lib/src/ui/profile/profile_page.dart, Dart, 0, 0, 131, 0, 0, 0, 0, 0, 0, 10, 10, 151
/home/jakub/Projects/agh_soccer/frontend/lib/src/ui/profile/profile_view.dart, Dart, 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 5, 70
/home/jakub/Projects/agh_soccer/frontend/lib/src/ui/register/register_form.dart, Dart, 0, 0, 98, 0, 0, 0, 0, 0, 0, 0, 7, 105
/home/jakub/Projects/agh_soccer/frontend/lib/src/ui/register/register_page.dart, Dart, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 9, 56
/home/jakub/Projects/agh_soccer/frontend/lib/src/ui/splash_screen.dart, Dart, 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 2, 58
/home/jakub/Projects/agh_soccer/frontend/lib/src/utilities/date_time_picker.dart, Dart, 0, 0, 106, 0, 0, 0, 0, 0, 0, 0, 10, 116
/home/jakub/Projects/agh_soccer/frontend/lib/src/utilities/fade_route.dart, Dart, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 23
/home/jakub/Projects/agh_soccer/frontend/lib/src/utilities/slide_right_route.dart, Dart, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 26
/home/jakub/Projects/agh_soccer/frontend/lib/src/utilities/validators.dart, Dart, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 3, 25
/home/jakub/Projects/agh_soccer/frontend/lib/src/utilities/visible_when_focused.dart, Dart, 0, 0, 80, 0, 0, 0, 0, 0, 0, 58, 21, 159
/home/jakub/Projects/agh_soccer/frontend/pubspec.yaml, YAML, 32, 0, 0, 0, 0, 0, 0, 0, 0, 16, 15, 63
/home/jakub/Projects/agh_soccer/frontend/test/widget_test.dart, Dart, 0, 0, 14, 0, 0, 0, 0, 0, 0, 10, 7, 31
Total, -, 32, 9, 4201, 13, 92, 1, 14, 111, 145, 156, 759, 5533
